Continente;cod continente;País;cod pais;UF;cod uf;Via;cod via;ano;Mês;cod mes;Chegadas;Classificação;Sigla_UF;Data
AMÉRICA CENTRAL E CARIBE;2;Trinidad E Tobago;21;Distrito Federal;7;Aéreo;1;2023;Abril;4;4;Média;DF;2023-04-01
AMÉRICA CENTRAL E CARIBE;2;Trinidad E Tobago;21;Distrito Federal;7;Aéreo;1;2023;Maio;5;3;Média;DF;2023-05-01
AMÉRICA CENTRAL E CARIBE;2;Trinidad E Tobago;21;Distrito Federal;7;Aéreo;1;2023;Junho;6;10;Média;DF;2023-06-01
AMÉRICA CENTRAL E CARIBE;2;Trinidad E Tobago;21;Distrito Federal;7;Aéreo;1;2023;Julho;7;2;Média;DF;2023-07-01
AMÉRICA CENTRAL E CARIBE;2;Trinidad E Tobago;21;Distrito Federal;7;Aéreo;1;2023;Agosto;8;3;Média;DF;2023-08-01
AMÉRICA CENTRAL E CARIBE;2;Trinidad E Tobago;21;Distrito Federal;7;Aéreo;1;2023;Setembro;9;4;Média;DF;2023-09-01
AMÉRICA CENTRAL E CARIBE;2;Trinidad E Tobago;21;Distrito Federal;7;Aéreo;1;2023;Outubro;10;10;Média;DF;2023-10-01
AMÉRICA CENTRAL E CARIBE;2;Trinidad E Tobago;21;Distrito Federal;7;Aéreo;1;2023;Outubro;10;0;Baixa;DF;2023-10-01
AMÉRICA CENTRAL E CARIBE;2;Trinidad E Tobago;21;Distrito Federal;7;Aéreo;1;2023;Novembro;11;8;Média;DF;2023-11-01
AMÉRICA CENTRAL E CARIBE;2;Trinidad E Tobago;21;Distrito Federal;7;Aéreo;1;2023;Novembro;11;0;Baixa;DF;2023-11-01
AMÉRICA CENTRAL E CARIBE;2;Trinidad E Tobago;21;Distrito Federal;7;Aéreo;1;2023;Dezembro;12;3;Média;DF;2023-12-01
AMÉRICA CENTRAL E CARIBE;2;Trinidad E Tobago;21;Distrito Federal;7;Aéreo;1;2023;Dezembro;12;0;Baixa;DF;2023-12-01
ÁFRICA;1;Tunísia;10;Distrito Federal;7;Aéreo;1;2023;Fevereiro;2;1;Média;DF;2023-02-01
